1.000000000000000000e+02,5.844378471374511372e-03,2.578993574985790228e-03,7.192444801330566233e-03,7.688790403533268900e-04,1.303682327270507847e-02,2.800887524663672919e-03,3.337490558624267578e-02,2.302074944613909536e-03,3.664493560791015625e-04,0.000000000000000000e+00,5.865097045898437500e-05,0.000000000000000000e+00
1.000000000000000000e+03,5.282878875732421875e-03,5.894419401780785208e-04,8.720946311950684288e-03,3.048213810222084874e-03,1.400382518768310616e-02,3.129856932482383280e-03,3.893156051635741910e-02,1.494309802288836843e-02,3.805160522460937500e-04,0.000000000000000000e+00,6.127357482910156250e-05,0.000000000000000000e+00
1.000000000000000000e+04,5.562114715576172048e-03,3.969711985086963831e-04,8.387875556945801475e-03,1.855660700512141862e-03,1.394999027252197266e-02,2.005779147031142105e-03,3.393135070800781111e-02,2.355125137075949563e-03,9.307861328125000000e-04,0.000000000000000000e+00,5.538463592529296875e-04,0.000000000000000000e+00
1.000000000000000000e+05,7.812809944152832725e-03,1.924395404074373539e-03,7.125973701477050781e-03,1.066939957182513844e-03,1.493878364562988351e-02,2.222658644926627479e-03,3.506052494049072266e-02,2.752548526399630109e-03,1.168823242187500000e-02,0.000000000000000000e+00,5.406141281127929688e-03,0.000000000000000000e+00
1.000000000000000000e+06,3.565099239349365373e-02,6.479958059467678250e-03,4.667353630065917795e-03,6.348346040465252830e-04,4.031834602355956892e-02,6.530988203072686862e-03,5.691690444946288785e-02,7.015891470482493036e-03,1.381392478942871094e-01,0.000000000000000000e+00,6.262922286987304688e-02,0.000000000000000000e+00
2.500000000000000000e+06,7.195322513580322543e-02,5.484488454924641397e-03,4.782390594482421702e-03,7.233873647633714491e-04,7.673561573028564453e-02,5.948243074578111675e-03,9.253435134887695590e-02,6.007449662760992563e-03,3.457703590393066406e-01,0.000000000000000000e+00,1.503491401672363281e-01,0.000000000000000000e+00
5.000000000000000000e+06,1.365246534347534235e-01,5.968193342278512066e-03,5.947947502136230469e-03,1.342004089642765807e-03,1.424726009368896540e-01,6.409541866590731836e-03,1.657517910003662165e-01,2.314132624837812735e-02,7.007784843444824219e-01,0.000000000000000000e+00,2.954518795013427734e-01,0.000000000000000000e+00
7.500000000000000000e+06,1.724623918533325084e-01,5.390740894233090122e-03,6.336879730224609202e-03,1.781205526449259734e-03,1.787992715835571289e-01,5.133114433737964201e-03,1.951018810272216741e-01,5.285913942669496872e-03,1.031994819641113281e+00,0.000000000000000000e+00,4.505817890167236328e-01,0.000000000000000000e+00
1.000000000000000000e+07,2.780305862426757924e-01,6.889397127473192821e-03,7.032179832458495747e-03,5.076008197435062349e-04,2.850627660751342551e-01,6.847175033226169695e-03,3.018425941467285378e-01,7.392224512621218234e-03,1.381152391433715820e+00,0.000000000000000000e+00,5.980708599090576172e-01,0.000000000000000000e+00
1.250000000000000000e+07,3.263865470886230247e-01,1.382594679320397514e-02,7.976627349853515972e-03,4.620796281799026861e-04,3.343631744384765736e-01,1.400967062796031753e-02,3.508343458175658958e-01,1.402723345530217103e-02,1.722105503082275391e+00,0.000000000000000000e+00,7.358307838439941406e-01,0.000000000000000000e+00
1.500000000000000000e+07,3.666075468063354492e-01,1.742313921780544103e-02,8.793497085571288716e-03,2.644829041155311597e-04,3.754010438919067605e-01,1.754237404671605757e-02,3.924927473068237083e-01,1.781515191883364241e-02,2.071999073028564453e+00,0.000000000000000000e+00,8.820524215698242188e-01,0.000000000000000000e+00
1.750000000000000000e+07,5.147521495819091797e-01,5.532246640019201911e-03,9.933280944824218056e-03,9.795022188122950394e-05,5.246854305267334428e-01,5.573836770445142128e-03,5.413899183273315208e-01,5.592627980359275719e-03,2.409331083297729492e+00,0.000000000000000000e+00,1.031976222991943359e+00,0.000000000000000000e+00
2.000000000000000000e+07,5.624046564102173074e-01,1.046300479376026209e-02,1.083660125732421875e-02,3.542217173418739937e-04,5.732412576675415261e-01,1.028634617375848853e-02,5.895372867584228738e-01,1.058538051006750053e-02,2.769854784011840820e+00,0.000000000000000000e+00,1.176939964294433594e+00,0.000000000000000000e+00
2.250000000000000000e+07,6.027152061462401900e-01,1.799223874717306021e-02,1.236772537231445312e-02,6.388041138033295849e-04,6.150829315185546431e-01,1.789038119580776964e-02,6.379919767379760298e-01,3.743784823422711266e-02,3.119972705841064453e+00,0.000000000000000000e+00,1.332785606384277344e+00,0.000000000000000000e+00
2.500000000000000000e+07,6.406935691833496316e-01,2.069465890972336727e-02,1.307811737060546840e-02,1.645804401343827427e-04,6.537716865539551225e-01,2.066817593505248379e-02,6.693911314010619895e-01,2.126433148063073750e-02,3.424289226531982422e+00,0.000000000000000000e+00,1.468067646026611328e+00,0.000000000000000000e+00
2.750000000000000000e+07,6.872632265090942161e-01,2.354067294522519532e-02,1.410727500915527274e-02,3.490380380319488751e-04,7.013705015182495339e-01,2.324930938505693351e-02,7.176555395126342773e-01,2.391305589029588119e-02,3.790648937225341797e+00,0.000000000000000000e+00,1.627935647964477539e+00,0.000000000000000000e+00
3.000000000000000000e+07,7.182225942611694114e-01,1.505262332585413643e-02,1.518526077270507778e-02,4.073449516062177295e-04,7.334078550338745117e-01,1.529590992805529223e-02,7.495563507080078569e-01,1.562960765599055724e-02,4.124125242233276367e+00,0.000000000000000000e+00,1.785643339157104492e+00,0.000000000000000000e+00
3.250000000000000000e+07,7.685053825378418413e-01,2.123040572739351081e-02,1.627011299133300851e-02,1.906654947022207213e-04,7.847754955291748047e-01,2.118858106143657952e-02,8.013599634170531782e-01,2.082659218696577760e-02,4.488493442535400391e+00,0.000000000000000000e+00,1.918468952178955078e+00,0.000000000000000000e+00
3.500000000000000000e+07,1.041871762275695890e+00,9.962016594034919098e-03,1.694383621215820451e-02,3.312813965417064281e-04,1.058815598487854004e+00,9.931294718685253903e-03,1.075636267662048340e+00,1.061307762380491598e-02,4.852812290191650391e+00,0.000000000000000000e+00,2.078235864639282227e+00,0.000000000000000000e+00
