1.000000000000000000e+02,7.069873809814453298e-03,2.546815085049286640e-03,1.438035964965820278e-02,4.264800587893217629e-03,2.145023345947265694e-02,6.210189928828136439e-03,2.419885158538818415e-01,9.052585073421774015e-03,5.707740783691406250e-04,0.000000000000000000e+00,1.180171966552734375e-04,0.000000000000000000e+00
1.000000000000000000e+03,5.564785003662109722e-03,4.807952778519787368e-04,1.248109340667724609e-02,5.984104982347406400e-04,1.804587841033935408e-02,8.333950024941665612e-04,2.235719919204711970e-01,7.407271155129712022e-03,4.677772521972656250e-04,0.000000000000000000e+00,8.249282836914062500e-05,0.000000000000000000e+00
1.000000000000000000e+04,6.156158447265624827e-03,1.381433852352348043e-03,1.280503273010253837e-02,1.054183107495199577e-03,1.896119117736816406e-02,2.323186111003149468e-03,2.115383625030517467e-01,3.875425030409313572e-03,1.050949096679687500e-03,0.000000000000000000e+00,7.350444793701171875e-04,0.000000000000000000e+00
1.000000000000000000e+05,1.021833419799804757e-02,2.286020729326224132e-03,1.306841373443603550e-02,1.366035187273149931e-03,2.328674793243408134e-02,3.243571843488150201e-03,2.160578012466430609e-01,3.602208912495196130e-03,1.431083679199218750e-02,0.000000000000000000e+00,7.312059402465820312e-03,0.000000000000000000e+00
1.000000000000000000e+06,6.479120254516601562e-02,1.423240187939071519e-02,1.198012828826904366e-02,7.248634696534121506e-04,7.677133083343505582e-02,1.443801384729161662e-02,2.643323421478271373e-01,1.474776693721111323e-02,1.627666950225830078e-01,0.000000000000000000e+00,8.078217506408691406e-02,0.000000000000000000e+00
5.000000000000000000e+06,3.597145557403564342e-01,3.226322688277820372e-02,2.849249839782714774e-02,4.189958057389336910e-03,3.882070541381835715e-01,3.302468290306504600e-02,1.186186861991882280e+00,6.201480470901940545e-02,8.161756992340087891e-01,0.000000000000000000e+00,3.922865390777587891e-01,0.000000000000000000e+00
1.000000000000000000e+07,7.233332872390747514e-01,5.848995432638778857e-02,4.476020336151122908e-02,6.049522172260318742e-03,7.680934906005859597e-01,6.168048103182227626e-02,2.142799043655395419e+00,8.033529833407168641e-02,1.618532419204711914e+00,0.000000000000000000e+00,7.550823688507080078e-01,0.000000000000000000e+00
2.000000000000000000e+07,1.351524734497070224e+00,6.754738172207379321e-02,8.099761009216308039e-02,1.318117761713290953e-02,1.432522344589233443e+00,7.551074910180766153e-02,3.936151528358459384e+00,7.986660659743272106e-02,3.215684652328491211e+00,0.000000000000000000e+00,1.443364620208740234e+00,0.000000000000000000e+00
5.000000000000000000e+07,2.867450356483459473e+00,1.090510626977829467e-01,1.563956975936889593e-01,1.486939437384087424e-02,3.023846054077148349e+00,1.136400488440186957e-01,8.433921051025389914e+00,1.458029778353143457e-01,8.008201122283935547e+00,0.000000000000000000e+00,3.407508134841918945e+00,0.000000000000000000e+00
7.000000000000000000e+07,4.126184868812560858e+00,2.196700034447448824e-01,2.133085966110229437e-01,3.905715367527536064e-02,4.339493465423584162e+00,2.056177752470152165e-01,1.159504621028900218e+01,2.516524618355285847e-01,1.120856857299804688e+01,0.000000000000000000e+00,4.753176927566528320e+00,0.000000000000000000e+00
9.338890000000000000e+07,5.233783292770385565e+00,7.283834777337576671e-01,2.577948570251464844e-01,1.035881265161027118e-02,5.491578149795532049e+00,7.297316062674782389e-01,1.499534854888915980e+01,7.910379624397739784e-01,1.714476299285888672e+01,0.000000000000000000e+00,6.321272373199462891e+00,0.000000000000000000e+00
