2.560000000000000000e+02,7.614135742187499783e-04,2.295862276511581991e-04,5.943465232849121267e-03,3.020048254411634775e-04,6.704878807067870920e-03,5.192951833850504391e-04,2.113008499145507812e-02,1.592124025743608734e-03
5.120000000000000000e+02,7.428646087646484809e-04,1.527549082911973898e-04,1.610956192016601424e-02,3.025604530797984526e-02,1.685242652893066337e-02,3.023512405722648955e-02,3.200402259826660295e-02,3.070680779605833646e-02
7.680000000000000000e+02,7.247447967529297309e-04,1.324302130300449162e-04,1.668417453765869141e-02,3.184924435835907036e-02,1.740891933441162179e-02,3.189418296336164749e-02,3.825881481170654436e-02,3.470662176660221226e-02
1.024000000000000000e+03,6.248712539672851779e-04,8.583734075940162398e-05,1.635766029357910156e-02,3.145701919602821028e-02,1.698253154754638533e-02,3.143764364033910241e-02,3.723738193511962752e-02,3.124486883435363335e-02
1.536000000000000000e+03,5.956649780273437717e-04,6.329339291455286841e-05,1.624720096588134696e-02,3.133473913261453775e-02,1.684286594390869279e-02,3.132840676807310820e-02,6.364736557006836493e-02,3.146357291949502394e-02
2.048000000000000000e+03,6.007671356201172309e-04,5.951863759348855333e-05,1.622064113616943429e-02,3.069910854838821257e-02,1.682140827178955217e-02,3.068569121262805163e-02,9.584875106811523160e-02,3.091927728674006073e-02
3.072000000000000000e+03,6.284236907958984809e-04,6.336130627423955006e-05,1.657760143280029297e-02,3.100703381913542250e-02,1.720602512359619210e-02,3.099891759487494527e-02,1.939262628555297741e-01,3.116941547825829995e-02
4.096000000000000000e+03,6.132841110229492621e-04,8.728185067990000957e-05,1.690897941589355330e-02,3.080735058872212731e-02,1.752226352691650321e-02,3.079452236218438790e-02,3.182330131530761719e-01,3.527652004258692575e-02
6.144000000000000000e+03,7.843732833862304904e-04,1.243604404177197720e-04,1.853756904602050712e-02,3.149619296039733729e-02,1.932194232940673967e-02,3.152975486971487662e-02,7.376700639724731445e-01,3.884256176612898431e-02
8.192000000000000000e+03,6.839036941528320312e-04,1.377134379784628786e-04,2.041985988616943498e-02,3.161310152362912379e-02,2.110376358032226701e-02,3.157845323776570234e-02,1.289298415184020996e+00,3.387597430985494346e-02
