2.560000000000000000e+02,6.339550018310546875e-04,5.900859832763671875e-03,6.534814834594726562e-03,2.095413208007812500e-02
2.560000000000000000e+02,6.489753723144531250e-04,5.850791931152343750e-03,6.499767303466796875e-03,2.000498771667480469e-02
2.560000000000000000e+02,6.232261657714843750e-04,5.960226058959960938e-03,6.583452224731445312e-03,2.011942863464355469e-02
2.560000000000000000e+02,6.101131439208984375e-04,5.785226821899414062e-03,6.395339965820312500e-03,2.033567428588867188e-02
2.560000000000000000e+02,6.027221679687500000e-04,5.629301071166992188e-03,6.232023239135742188e-03,2.137589454650878906e-02
2.560000000000000000e+02,8.225440979003906250e-04,5.916357040405273438e-03,6.738901138305664062e-03,2.004194259643554688e-02
2.560000000000000000e+02,1.369953155517578125e-03,6.612539291381835938e-03,7.982492446899414062e-03,2.314996719360351562e-02
2.560000000000000000e+02,8.797645568847656250e-04,6.165266036987304688e-03,7.045030593872070312e-03,2.471971511840820312e-02
2.560000000000000000e+02,5.736351013183593750e-04,5.458593368530273438e-03,6.032228469848632812e-03,1.911425590515136719e-02
2.560000000000000000e+02,8.492469787597656250e-04,6.155490875244140625e-03,7.004737854003906250e-03,2.148485183715820312e-02
5.120000000000000000e+02,6.723403930664062500e-04,1.068656444549560547e-01,1.075379848480224609e-01,1.239230632781982422e-01
5.120000000000000000e+02,6.232261657714843750e-04,5.483388900756835938e-03,6.106615066528320312e-03,1.986217498779296875e-02
5.120000000000000000e+02,6.158351898193359375e-04,5.382299423217773438e-03,5.998134613037109375e-03,1.973533630371093750e-02
5.120000000000000000e+02,6.043910980224609375e-04,5.576133728027343750e-03,6.180524826049804688e-03,2.005934715270996094e-02
5.120000000000000000e+02,9.381771087646484375e-04,6.612300872802734375e-03,7.550477981567382812e-03,2.637672424316406250e-02
5.120000000000000000e+02,9.157657623291015625e-04,6.118297576904296875e-03,7.034063339233398438e-03,2.323222160339355469e-02
5.120000000000000000e+02,5.950927734375000000e-04,5.728483200073242188e-03,6.323575973510742188e-03,2.025461196899414062e-02
5.120000000000000000e+02,9.036064147949218750e-04,6.856679916381835938e-03,7.760286331176757812e-03,2.318477630615234375e-02
5.120000000000000000e+02,9.536743164062500000e-04,6.623983383178710938e-03,7.577657699584960938e-03,2.289175987243652344e-02
5.120000000000000000e+02,6.065368652343750000e-04,5.848407745361328125e-03,6.454944610595703125e-03,2.052021026611328125e-02
7.680000000000000000e+02,8.556842803955078125e-04,1.122281551361083984e-01,1.130838394165039062e-01,1.315515041351318359e-01
7.680000000000000000e+02,7.038116455078125000e-04,5.903244018554687500e-03,6.607055664062500000e-03,2.204537391662597656e-02
7.680000000000000000e+02,8.463859558105468750e-04,6.311178207397460938e-03,7.157564163208007812e-03,2.395272254943847656e-02
7.680000000000000000e+02,5.786418914794921875e-04,5.722761154174804688e-03,6.301403045654296875e-03,2.170538902282714844e-02
7.680000000000000000e+02,8.256435394287109375e-04,6.259202957153320312e-03,7.084846496582031250e-03,7.372426986694335938e-02
7.680000000000000000e+02,8.790493011474609375e-04,6.427288055419921875e-03,7.306337356567382812e-03,2.382612228393554688e-02
7.680000000000000000e+02,5.671977996826171875e-04,5.779981613159179688e-03,6.347179412841796875e-03,2.075099945068359375e-02
7.680000000000000000e+02,5.791187286376953125e-04,5.785465240478515625e-03,6.364583969116210938e-03,2.095222473144531250e-02
7.680000000000000000e+02,8.490085601806640625e-04,6.544828414916992188e-03,7.393836975097656250e-03,2.307820320129394531e-02
7.680000000000000000e+02,5.629062652587890625e-04,5.879640579223632812e-03,6.442546844482421875e-03,2.100133895874023438e-02
1.024000000000000000e+03,5.648136138916015625e-04,1.107263565063476562e-01,1.112911701202392578e-01,1.309483051300048828e-01
1.024000000000000000e+03,5.903244018554687500e-04,5.930662155151367188e-03,6.520986557006835938e-03,2.625608444213867188e-02
1.024000000000000000e+03,7.064342498779296875e-04,5.941629409790039062e-03,6.648063659667968750e-03,2.633166313171386719e-02
1.024000000000000000e+03,5.753040313720703125e-04,5.605459213256835938e-03,6.180763244628906250e-03,2.726554870605468750e-02
1.024000000000000000e+03,7.033348083496093750e-04,6.179332733154296875e-03,6.882667541503906250e-03,2.662086486816406250e-02
1.024000000000000000e+03,5.540847778320312500e-04,5.769252777099609375e-03,6.323337554931640625e-03,2.592992782592773438e-02
1.024000000000000000e+03,8.280277252197265625e-04,6.330013275146484375e-03,7.158041000366210938e-03,2.823472023010253906e-02
1.024000000000000000e+03,5.736351013183593750e-04,5.630731582641601562e-03,6.204366683959960938e-03,2.735018730163574219e-02
1.024000000000000000e+03,5.753040313720703125e-04,5.690097808837890625e-03,6.265401840209960938e-03,2.599620819091796875e-02
1.024000000000000000e+03,5.774497985839843750e-04,5.773067474365234375e-03,6.350517272949218750e-03,2.744030952453613281e-02
1.536000000000000000e+03,5.755424499511718750e-04,1.102499961853027344e-01,1.108255386352539062e-01,1.580357551574707031e-01
1.536000000000000000e+03,5.700588226318359375e-04,5.828142166137695312e-03,6.398200988769531250e-03,5.310535430908203125e-02
1.536000000000000000e+03,6.637573242187500000e-04,5.973100662231445312e-03,6.636857986450195312e-03,5.338883399963378906e-02
1.536000000000000000e+03,5.562305450439453125e-04,5.670070648193359375e-03,6.226301193237304688e-03,5.296921730041503906e-02
1.536000000000000000e+03,7.634162902832031250e-04,6.208419799804687500e-03,6.971836090087890625e-03,5.370163917541503906e-02
1.536000000000000000e+03,5.576610565185546875e-04,5.829334259033203125e-03,6.386995315551757812e-03,5.318784713745117188e-02
1.536000000000000000e+03,5.681514739990234375e-04,5.685329437255859375e-03,6.253480911254882812e-03,5.308246612548828125e-02
1.536000000000000000e+03,5.717277526855468750e-04,5.644321441650390625e-03,6.216049194335937500e-03,5.300498008728027344e-02
1.536000000000000000e+03,5.619525909423828125e-04,5.589246749877929688e-03,6.151199340820312500e-03,5.289721488952636719e-02
1.536000000000000000e+03,5.681514739990234375e-04,5.794048309326171875e-03,6.362199783325195312e-03,5.310034751892089844e-02
2.048000000000000000e+03,5.593299865722656250e-04,1.083159446716308594e-01,1.088752746582031250e-01,1.884348392486572266e-01
2.048000000000000000e+03,5.922317504882812500e-04,6.030559539794921875e-03,6.622791290283203125e-03,8.487868309020996094e-02
2.048000000000000000e+03,5.714893341064453125e-04,5.880594253540039062e-03,6.452083587646484375e-03,8.414602279663085938e-02
2.048000000000000000e+03,5.681514739990234375e-04,5.848884582519531250e-03,6.417036056518554688e-03,8.417630195617675781e-02
2.048000000000000000e+03,5.791187286376953125e-04,6.024599075317382812e-03,6.603717803955078125e-03,8.528494834899902344e-02
2.048000000000000000e+03,6.484985351562500000e-04,5.909442901611328125e-03,6.557941436767578125e-03,9.096908569335937500e-02
2.048000000000000000e+03,5.803108215332031250e-04,5.999803543090820312e-03,6.580114364624023438e-03,8.535861968994140625e-02
