2.560000000000000000e+02,4.764318466186523329e-04,1.290711100324707901e-04,1.613714694976806779e-02,2.976840861840936853e-03,1.661357879638671736e-02,3.052041938713036685e-03,4.295952320098876676e-02,1.081008662141205723e-02
5.120000000000000000e+02,4.354000091552734483e-04,9.027119338531161986e-05,3.787240982055663924e-02,2.974886338343126282e-02,3.830780982971191545e-02,2.973449491598936095e-02,1.145628452301025446e-01,3.159699797383645065e-02
7.680000000000000000e+02,4.335403442382812717e-04,6.683704165956472470e-05,2.845730781555175920e-02,3.001859538021246776e-02,2.889084815979003906e-02,3.002066633768690415e-02,1.476018190383911188e-01,2.543424538941444282e-02
1.024000000000000000e+03,4.292726516723632812e-04,6.121085348431657834e-05,3.017032146453857422e-02,2.863439893976843509e-02,3.059959411621093750e-02,2.868678082675785168e-02,2.301177740097045954e-01,3.042855586042265970e-02
1.536000000000000000e+03,5.126953125000000217e-04,1.464207363225161133e-04,3.959512710571289062e-02,2.617672291289786443e-02,4.010782241821288924e-02,2.613347827596334411e-02,4.743951559066772461e-01,3.131074374319797043e-02
2.048000000000000000e+03,4.787921905517578233e-04,1.924673552149124825e-04,5.182840824127197404e-02,2.730889137539909209e-02,5.230720043182372769e-02,2.727206730088041139e-02,8.733771324157715288e-01,6.411389789313978738e-02
3.072000000000000000e+03,4.451513290405273221e-04,8.671860574745228500e-05,9.372198581695556641e-02,3.301145340624299374e-02,9.416713714599608820e-02,3.299120970367932365e-02,2.127390789985656561e+00,6.132630248186650423e-02
4.096000000000000000e+03,4.174232482910156142e-04,5.665407407774232285e-05,1.470995426177978405e-01,2.878704114091601776e-02,1.475169658660888672e-01,2.883903888828587628e-02,3.875376987457275213e+00,1.211441572995089477e-01
6.144000000000000000e+03,4.716396331787109483e-04,2.255061381984093598e-04,2.831907987594604603e-01,3.266118587279199376e-02,2.836624383926391602e-01,3.270437793343967253e-02,8.653273391723633523e+00,2.012097370545117836e-01
8.192000000000000000e+03,6.029844284057616971e-04,1.864330372445545630e-04,4.732306003570556641e-01,3.769678659605381343e-02,4.738335847854614480e-01,3.766246184742574193e-02,1.563404498100280726e+01,2.898585384111346808e-01
