2.560000000000000000e+02,7.635831832885741754e-04,1.352567343108752288e-04,6.708931922912597483e-03,3.012196604724126864e-04,7.472515106201171875e-03,4.342189887319325317e-04,2.212884426116943498e-02,1.832886940960219398e-03
5.120000000000000000e+02,6.098270416259766059e-04,6.439003895933109387e-05,1.697361469268798828e-02,3.132585348992100727e-02,1.758344173431396554e-02,3.131214274426530331e-02,3.176143169403076311e-02,3.191019213081586203e-02
7.680000000000000000e+02,6.245851516723632379e-04,9.387063880671135262e-05,1.875333786010742118e-02,3.679668254930682642e-02,1.937792301177978377e-02,3.677875346103012810e-02,3.892216682434081892e-02,3.839207833684340349e-02
1.024000000000000000e+03,6.205797195434570529e-04,9.411764490242561750e-05,1.912150382995605330e-02,3.783845257621130942e-02,1.974208354949951241e-02,3.781967847855870896e-02,3.956508636474609375e-02,3.776585809267900273e-02
1.536000000000000000e+03,6.381511688232421658e-04,8.822809584228066837e-05,1.697130203247070382e-02,3.116144526873998108e-02,1.760945320129394392e-02,3.113959015373771871e-02,6.488075256347655695e-02,3.124591048510952374e-02
2.048000000000000000e+03,5.829334259033203125e-04,4.326912965345058886e-05,1.688680648803710799e-02,3.118216525241576317e-02,1.746973991394042830e-02,3.118092753450018434e-02,9.625651836395263117e-02,3.119248043270229226e-02
3.072000000000000000e+03,5.851984024047851562e-04,4.004683452981600889e-05,1.741125583648681779e-02,3.185421173484766222e-02,1.799645423889160295e-02,3.184834895447120201e-02,1.950974941253661998e-01,3.240080176770795961e-02
4.096000000000000000e+03,5.924224853515625434e-04,8.151452769002113402e-05,1.759018898010254045e-02,3.135286591436580589e-02,1.818261146545410017e-02,3.135609453013435410e-02,3.191582441329955944e-01,3.599376976407097500e-02
6.144000000000000000e+03,6.298065185546874783e-04,7.939397393545098150e-05,1.866037845611572335e-02,3.113028286097478323e-02,1.929018497467040877e-02,3.110813632577617838e-02,7.403869628906250000e-01,3.631232975277410430e-02
8.192000000000000000e+03,6.560802459716797309e-04,1.242834593035462216e-04,2.073864936828613212e-02,3.094579241937381667e-02,2.139472961425781250e-02,3.091448416619505327e-02,1.297049713134765581e+00,3.670978753198762129e-02
