2.560000000000000000e+02,8.184909820556640625e-04,6.663084030151367188e-03,7.481575012207031250e-03,2.258014678955078125e-02
2.560000000000000000e+02,8.845329284667968750e-04,7.026433944702148438e-03,7.910966873168945312e-03,2.322745323181152344e-02
2.560000000000000000e+02,8.306503295898437500e-04,6.811380386352539062e-03,7.642030715942382812e-03,2.210450172424316406e-02
2.560000000000000000e+02,8.335113525390625000e-04,6.896257400512695312e-03,7.729768753051757812e-03,2.207708358764648438e-02
2.560000000000000000e+02,8.435249328613281250e-04,6.964921951293945312e-03,7.808446884155273438e-03,2.427625656127929688e-02
2.560000000000000000e+02,5.512237548828125000e-04,6.281614303588867188e-03,6.832838058471679688e-03,1.969051361083984375e-02
2.560000000000000000e+02,8.323192596435546875e-04,6.864786148071289062e-03,7.697105407714843750e-03,2.220153808593750000e-02
2.560000000000000000e+02,9.098052978515625000e-04,7.034778594970703125e-03,7.944583892822265625e-03,2.546024322509765625e-02
2.560000000000000000e+02,5.745887756347656250e-04,6.262540817260742188e-03,6.837129592895507812e-03,1.982283592224121094e-02
2.560000000000000000e+02,5.571842193603515625e-04,6.283521652221679688e-03,6.840705871582031250e-03,1.984786987304687500e-02
5.120000000000000000e+02,5.671977996826171875e-04,1.109452247619628906e-01,1.115124225616455078e-01,1.274390220642089844e-01
5.120000000000000000e+02,5.848407745361328125e-04,6.507396697998046875e-03,7.092237472534179688e-03,2.048015594482421875e-02
5.120000000000000000e+02,5.736351013183593750e-04,6.541013717651367188e-03,7.114648818969726562e-03,2.059578895568847656e-02
5.120000000000000000e+02,5.660057067871093750e-04,6.289958953857421875e-03,6.855964660644531250e-03,2.060437202453613281e-02
5.120000000000000000e+02,6.096363067626953125e-04,6.525039672851562500e-03,7.134675979614257812e-03,2.291584014892578125e-02
5.120000000000000000e+02,5.743503570556640625e-04,6.222963333129882812e-03,6.797313690185546875e-03,2.007389068603515625e-02
5.120000000000000000e+02,7.548332214355468750e-04,6.512641906738281250e-03,7.267475128173828125e-03,2.235722541809082031e-02
5.120000000000000000e+02,7.154941558837890625e-04,7.525682449340820312e-03,8.241176605224609375e-03,2.276349067687988281e-02
5.120000000000000000e+02,5.819797515869140625e-04,6.230831146240234375e-03,6.812810897827148438e-03,2.003860473632812500e-02
5.120000000000000000e+02,5.702972412109375000e-04,6.435394287109375000e-03,7.005691528320312500e-03,2.034592628479003906e-02
7.680000000000000000e+02,5.688667297363281250e-04,1.291406154632568359e-01,1.297094821929931641e-01,1.462764739990234375e-01
